"contacts","social","laws","citizenship","workpermit","employment","attitude","reputation","destination","candidate","id","gender","age","children","educ","prewar","satisfaction","migmotivation","miglikely","prefchar","prefcountry","incentivised","t_choice"
"Family","Free housing","Ban on nikab and burka in public","After 8 years","After 3 months","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","Welcoming to foreigners",1,1,624,"Male","30-39","No","Bachelor's degree (4-year)","0",2,1,3,"Employment / career opportunities","UK","1","16.279"
"No contacts","Generous support for refugees","Ban on nikab and burka in public","After 3 years","Immediately","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","Good country for Syrians",1,1,625,"Male","18 - 29","No","Bachelor's degree (4-year)","0",7,1,4,"Citizenship and rights","Canada","1","57.902"
"Family","No minimum wage","Ban on nikab and burka in public","After 5 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Good country for Syrians",1,1,627,"Male","30-39","No","Diploma or technical certificate (2-year)","1",7,1,3,"Citizenship and rights","Canada","1","35.774"
"Friends","Free healthcare","No religious bans","After 3 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Has many well-known brands",1,1,628,"Female","18 - 29","No","Master's degree or higher","1",5,3,6,"Employment / career opportunities","UK","1","79.522"
"Other Syrians","No minimum wage","No religious bans","After 3 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Good country for Syrians",1,1,629,"Male","18 - 29","Yes","Some college but no degree","0",2,1,3,"Citizenship and rights","Germany","1","35.355"
"Other Syrians","No minimum wage","Ban on immigration from Muslim countries","After 8 years","After 3 months","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Good country for Syrians",1,1,632,"Female","18 - 29","No","Bachelor's degree (4-year)","0",7,1,NA,"Citizenship and rights","Canada","1","14.334"
"No contacts","Generous support for refugees","Ban on nikab and burka in public","After 3 years","Immediately","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","Good country for Syrians",0,1,633,"Male","18 - 29","No","Bachelor's degree (4-year)","0",2,1,NA,"Asylum policies (e.g. family reunification, resettlement)","Canada","1","56.394"
"Other Syrians","Generous support for refugees","Ban on hijab in schools","After 5 years","After 3 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Welcoming to foreigners",0,1,635,"Male","18 - 29","Yes","Master's degree or higher","0",2,1,3,"Education opportunities","Canada","1","17.05"
"Family","Generous support for refugees","No religious bans","After 8 years","After 3 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Good country for Syrians",0,1,636,"Male","18 - 29","Yes","Diploma or technical certificate (2-year)","0",5,1,4,"Education opportunities","UK","1","32.57"
"No contacts","Generous support for refugees","Ban on hijab in schools","After 3 years","Immediately","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","Good country for Syrians",0,1,638,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",3,1,5,"Employment / career opportunities","Canada","1","73.911"
"Friends","No minimum wage","Ban on nikab and burka in public","After 8 years","Immediately","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Has many well-known brands",1,1,639,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",2,1,3,"Education opportunities","UK","1","87.709"
"Other Syrians","No minimum wage","Ban on nikab and burka in public","After 8 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Bad country for Syrians",0,1,644,"Male","30-39","Yes","Master's degree or higher","0",4,1,2,"Citizenship and rights","UK","1","16.039"
"Friends","Free housing","Ban on immigration from Muslim countries","After 5 years","After 12 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",0,1,645,"Male","30-39","Yes","Some college but no degree","0",7,4,6,"Employment / career opportunities","Canada","1","10.938"
"Family","Free healthcare","Ban on immigration from Muslim countries","After 8 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Bad country for Syrians",0,1,646,"Male","18 - 29","No","Bachelor's degree (4-year)","0",5,1,2,"Citizenship and rights","Canada","1","4.402"
"Other Syrians","No minimum wage","No religious bans","After 3 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","Bad country for Syrians",1,1,647,NA,NA,NA,NA,NA,5,3,3,"Asylum policies (e.g. family reunification, resettlement)","UK","1","73.714"
"Family","Free healthcare","Ban on hijab in schools","After 8 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Good country for Syrians",1,1,648,"Male","18 - 29","No","Some college but no degree","0",8,6,3,"Good reputation","UK","1","96.927"
"Friends","No minimum wage","Ban on hijab in schools","After 5 years","Immediately","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Has many well-known brands",0,1,649,"Female","18 - 29","No","Some college but no degree","0",8,4,3,"Education opportunities","UK","1","71.335"
"Friends","Generous support for refugees","No religious bans","After 3 years","Immediately","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Good country for Syrians",0,1,650,"Male","30-39","Yes","Bachelor's degree (4-year)","0",8,3,6,"Citizenship and rights","UK","1","54.519"
"Family","No minimum wage","Ban on hijab in schools","After 5 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Bad country for Syrians",0,1,651,"Male","18 - 29","No","Some college but no degree","0",6,4,3,"Employment / career opportunities","Canada","1","74.738"
"Other Syrians","Free healthcare","Ban on hijab in schools","After 8 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Bad country for Syrians",0,1,652,"Male","30-39","Yes","Some college but no degree","0",7,1,4,"Employment / career opportunities","UK","1","47.694"
"No contacts","Free healthcare","Ban on hijab in schools","After 3 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Good country for Syrians",1,1,654,"Female","18 - 29","No","Bachelor's degree (4-year)","1",5,1,2,"Employment / career opportunities","Canada","1","37.712"
"Family","Free healthcare","No religious bans","After 5 years","After 3 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Bad country for Syrians",1,1,656,"Male","18 - 29","No","Some college but no degree","0",8,1,2,"Education opportunities","UK","1","17.653"
"Family","No minimum wage","Ban on nikab and burka in public","After 5 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Bad country for Syrians",0,1,659,"Female","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",8,3,6,"Education opportunities","USA","1","85.474"
"Other Syrians","Free healthcare","Ban on hijab in schools","After 8 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Has many well-known brands",1,1,662,"Male","18 - 29","No","Some college but no degree","0",8,3,5,"Education opportunities","UK","1","19.806"
"Family","No minimum wage","Ban on nikab and burka in public","After 5 years","After 3 months","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","Has many well-known brands",1,1,665,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",5,1,6,"Education opportunities","UK","1","4.934"
"Family","Free housing","No religious bans","After 5 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","Welcoming to foreigners",0,1,667,"Male","18 - 29","No","Some college but no degree","0",2,1,NA,"Employment / career opportunities","Canada","1","10.311"
"No contacts","No minimum wage","No religious bans","After 5 years","After 12 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Good country for Syrians",1,1,668,"Male","18 - 29","No","Bachelor's degree (4-year)","1",2,1,2,"Citizenship and rights","UK","1","44.477"
"Other Syrians","Generous support for refugees","Ban on immigration from Muslim countries","After 5 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Has many well-known brands",1,1,670,"Male","18 - 29","Yes","Bachelor's degree (4-year)","0",5,4,6,"Employment / career opportunities","Canada","1","13.601"
"Other Syrians","Generous support for refugees","Ban on immigration from Muslim countries","After 5 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Bad country for Syrians",0,1,672,"Male","30-39","Yes","Bachelor's degree (4-year)","0",6,3,5,"Citizenship and rights","UK","1","23.298"
"Family","Generous support for refugees","Ban on immigration from Muslim countries","After 3 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Has many well-known brands",1,1,673,"Male","18 - 29","No","Bachelor's degree (4-year)","0",2,1,2,"Citizenship and rights","Canada","1","24.737"
"Other Syrians","No minimum wage","Ban on hijab in schools","After 8 years","Immediately","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Has many well-known brands",0,1,675,"Male","40-49","Yes","Some college but no degree","0",2,1,NA,"Social benefits and healthcare","Canada","1","7.335"
"Friends","Generous support for refugees","No religious bans","After 3 years","Immediately","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Welcoming to foreigners",1,1,676,"Male","30-39","Yes","Bachelor's degree (4-year)","1",2,1,4,"Citizenship and rights","UK","1","3.845"
"Friends","Free healthcare","No religious bans","After 3 years","Immediately","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Has many well-known brands",0,1,677,"Male","18 - 29","No","Some college but no degree","0",7,3,4,"Employment / career opportunities","Germany","1","5.205"
"Family","Generous support for refugees","No religious bans","After 8 years","After 12 months","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Has many well-known brands",0,1,678,"Male","18 - 29","No","Some college but no degree","0",6,1,6,"Employment / career opportunities","Canada","1","147.337"
"Friends","Free housing","Ban on immigration from Muslim countries","After 3 years","After 3 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Welcoming to foreigners",1,1,680,"Male","18 - 29","No","Bachelor's degree (4-year)","0",7,1,2,"Citizenship and rights","Canada","1","16.883"
"Friends","Free healthcare","Ban on nikab and burka in public","After 5 years","After 3 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",0,1,681,"Male","18 - 29","No","Less than high school degree","1",4,1,2,"Education opportunities","Canada","1","64.413"
"Other Syrians","Free housing","No religious bans","After 3 years","After 3 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","Welcoming to foreigners",1,1,682,"Male","30-39","No","Some college but no degree","0",4,1,3,"Employment / career opportunities","Canada","1","26.185"
"No contacts","Free healthcare","Ban on immigration from Muslim countries","After 3 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Welcoming to foreigners",1,1,683,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",2,4,5,"Asylum policies (e.g. family reunification, resettlement)","Other / Prefer not to answer","1","105.459"
"No contacts","Generous support for refugees","Ban on nikab and burka in public","After 8 years","After 3 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Welcoming to foreigners",1,1,684,"Male","18 - 29","Yes","Some college but no degree","0",8,1,5,"Citizenship and rights","Germany","1","93.438"
"Other Syrians","Free healthcare","No religious bans","After 8 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Welcoming to foreigners",0,1,687,"Male","18 - 29","No","Bachelor's degree (4-year)","0",7,3,5,"Employment / career opportunities","France","1","23.435"
"Friends","No minimum wage","Ban on nikab and burka in public","After 5 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Has many well-known brands",0,1,689,"Male","18 - 29","Yes","High school graduate (Baccalaureate / Tawjihi)","0",2,1,2,"Citizenship and rights","Canada","1","32.521"
"No contacts","Free housing","Ban on hijab in schools","After 8 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Bad country for Syrians",0,1,690,"Male","40-49","Yes","Less than high school degree","0",5,1,6,"Social benefits and healthcare","Canada","1","33.15"
"Friends","Generous support for refugees","Ban on immigration from Muslim countries","After 8 years","Immediately","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Good country for Syrians",0,1,692,"Male","30-39","Yes","Bachelor's degree (4-year)","0",7,3,5,"Social benefits and healthcare","Germany","1","56.439"
"Other Syrians","Free healthcare","Ban on immigration from Muslim countries","After 8 years","After 3 months","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Has many well-known brands",0,1,693,"Male","30-39","Yes","Master's degree or higher","0",2,1,2,"Citizenship and rights","UK","1","5.056"
"Other Syrians","Generous support for refugees","No religious bans","After 8 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Bad country for Syrians",0,1,694,"Male","50-59","No","Diploma or technical certificate (2-year)","0",6,1,5,"Asylum policies (e.g. family reunification, resettlement)","Canada","1","3.695"
"No contacts","Free healthcare","No religious bans","After 3 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Welcoming to foreigners",1,1,695,"Male","18 - 29","No","Some college but no degree","0",4,4,4,"Education opportunities","Germany","1","3.631"
"Family","No minimum wage","No religious bans","After 5 years","After 3 months","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Has many well-known brands",1,1,696,"Male","40-49","Yes","Master's degree or higher","0",5,3,4,"Citizenship and rights","Canada","1","18.3"
"No contacts","Free housing","No religious bans","After 8 years","After 12 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Has many well-known brands",1,1,699,"Male","18 - 29","No","Bachelor's degree (4-year)","1",4,1,5,"Employment / career opportunities","Canada","1","45.202"
"Friends","Free healthcare","Ban on immigration from Muslim countries","After 8 years","After 12 months","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","Bad country for Syrians",1,1,700,"Male","40-49","Yes","High school graduate (Baccalaureate / Tawjihi)","0",4,4,6,"Employment / career opportunities","Other / Prefer not to answer","1","34.329"
"No contacts","Free housing","Ban on hijab in schools","After 3 years","Immediately","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Good country for Syrians",1,1,702,"Female","50-59","No","Less than high school degree","0",8,6,3,"Friends / family / relatives in the country","Other / Prefer not to answer","1","12.4"
"Friends","No minimum wage","Ban on immigration from Muslim countries","After 3 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Bad country for Syrians",0,1,708,"Male","18 - 29","Yes","Less than high school degree","0",8,1,5,"Citizenship and rights","Canada","1","75.323"
"Other Syrians","Free housing","Ban on hijab in schools","After 8 years","After 3 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","Good country for Syrians",1,1,709,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",2,1,NA,"Employment / career opportunities","Canada","1","52.084"
"No contacts","Free healthcare","Ban on nikab and burka in public","After 3 years","After 3 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Has many well-known brands",1,1,710,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",4,1,5,"Education opportunities","Canada","1","22.511"
"Family","Free healthcare","No religious bans","After 8 years","After 3 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Welcoming to foreigners",1,1,711,"Male","18 - 29","No","Less than high school degree","0",2,1,3,"Citizenship and rights","Canada","1","30.116"
"Friends","Free healthcare","Ban on immigration from Muslim countries","After 8 years","After 3 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Good country for Syrians",0,1,714,"Male","18 - 29","No","Bachelor's degree (4-year)","0",6,3,6,"Education opportunities","Canada","1","18.479"
"Friends","Generous support for refugees","Ban on nikab and burka in public","After 3 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Good country for Syrians",0,1,715,"Female","30-39","No","Bachelor's degree (4-year)","1",5,1,4,"Citizenship and rights","Other / Prefer not to answer","1","43.609"
"Family","Free healthcare","Ban on hijab in schools","After 3 years","After 12 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Has many well-known brands",0,1,716,"Female","18 - 29","No","Master's degree or higher","0",4,1,3,"Education opportunities","Canada","1","18.172"
"No contacts","Free healthcare","Ban on immigration from Muslim countries","After 5 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Welcoming to foreigners",0,1,717,"Female","30-39","No","Bachelor's degree (4-year)","1",4,3,6,"Citizenship and rights","Germany","1","5.984"
"Friends","No minimum wage","No religious bans","After 3 years","Immediately","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","Good country for Syrians",1,1,718,"Male","18 - 29","No","Some college but no degree","0",4,3,5,"Education opportunities","UK","1","104.063"
"Friends","Free healthcare","Ban on immigration from Muslim countries","After 5 years","After 12 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Welcoming to foreigners",0,1,722,"Female","18 - 29","No","Some college but no degree","0",8,1,3,"Good reputation","Canada","1","18.399"
"Family","Generous support for refugees","Ban on hijab in schools","After 3 years","After 12 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Has many well-known brands",1,1,727,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",7,1,3,"Citizenship and rights","Canada","1","23.453"
"Other Syrians","Free healthcare","Ban on hijab in schools","After 5 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Has many well-known brands",1,1,728,"Male","18 - 29","No","Some college but no degree","0",5,1,2,"Language and culture","UK","1","73.77"
"Other Syrians","Free housing","Ban on hijab in schools","After 8 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Has many well-known brands",0,1,731,"Male","18 - 29","No","Bachelor's degree (4-year)","0",8,1,6,"Education opportunities","Canada","1","51.429"
"Other Syrians","Free housing","Ban on hijab in schools","After 3 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Has many well-known brands",1,1,732,"Male","18 - 29","No","Some college but no degree","0",6,1,6,"Citizenship and rights","Germany","1","68.002"
"Friends","Generous support for refugees","No religious bans","After 5 years","Immediately","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Welcoming to foreigners",1,1,733,"Male","18 - 29","Yes","Diploma or technical certificate (2-year)","1",4,1,3,"Citizenship and rights","UK","1","116.746"
"No contacts","No minimum wage","No religious bans","After 8 years","After 12 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Welcoming to foreigners",0,1,734,"Male","30-39","Yes","Bachelor's degree (4-year)","0",2,1,3,"Employment / career opportunities","UK","1","81.246"
"Other Syrians","Free healthcare","Ban on hijab in schools","After 8 years","Immediately","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",1,1,738,"Male","18 - 29","No","Bachelor's degree (4-year)","0",3,4,5,"Employment / career opportunities","UK","1","20.134"
"No contacts","No minimum wage","Ban on hijab in schools","After 5 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Welcoming to foreigners",0,1,740,"Male","30-39","Yes","Master's degree or higher","1",8,3,4,"Education opportunities","Canada","1","8.347"
"No contacts","Generous support for refugees","Ban on nikab and burka in public","After 3 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Bad country for Syrians",1,1,743,"Female","18 - 29","No","Bachelor's degree (4-year)","0",3,4,5,"Employment / career opportunities","UK","1","154.069"
"Family","No minimum wage","Ban on nikab and burka in public","After 3 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Welcoming to foreigners",0,1,745,"Male","18 - 29","No","Some college but no degree","0",NA,3,NA,"Education opportunities","Canada","1","90.378"
"No contacts","No minimum wage","Ban on hijab in schools","After 3 years","Immediately","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","Welcoming to foreigners",0,1,748,"Male","30-39","Yes","Diploma or technical certificate (2-year)","0",2,1,2,"Employment / career opportunities","UK","1","62.467"
"Family","Free healthcare","Ban on immigration from Muslim countries","After 5 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Bad country for Syrians",1,1,750,"Female","30-39","Yes","High school graduate (Baccalaureate / Tawjihi)","0",2,1,4,"Education opportunities","UK","1","2.628"
"Family","Free housing","Ban on nikab and burka in public","After 3 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Has many well-known brands",0,1,752,"Female","40-49","Yes","Bachelor's degree (4-year)","0",8,1,3,"Employment / career opportunities","Canada","1","17.761"
"No contacts","Free housing","Ban on hijab in schools","After 8 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","Good country for Syrians",0,1,753,"Female","18 - 29","No","Some college but no degree","0",7,1,3,"Education opportunities","UK","1","49.815"
"No contacts","Free housing","No religious bans","After 5 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Bad country for Syrians",1,1,755,"Female","18 - 29","No","Less than high school degree","0",2,6,3,"Education opportunities","Canada","1","8.264"
"Family","Free housing","Ban on nikab and burka in public","After 5 years","After 3 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Has many well-known brands",1,1,756,"Male","18 - 29","No","Some college but no degree","0",4,1,5,"Education opportunities","UK","1","6.38500000000001"
"Other Syrians","No minimum wage","No religious bans","After 3 years","After 12 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Good country for Syrians",1,1,763,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",8,3,4,"Employment / career opportunities","USA","1","66.626"
"Other Syrians","Generous support for refugees","Ban on immigration from Muslim countries","After 8 years","Immediately","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Welcoming to foreigners",1,1,764,"Male","18 - 29","No","Diploma or technical certificate (2-year)","1",7,1,3,"Citizenship and rights","Canada","1","54.379"
"Other Syrians","Free healthcare","Ban on nikab and burka in public","After 8 years","After 12 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Has many well-known brands",1,1,768,"Male","18 - 29","No","Bachelor's degree (4-year)","0",8,1,4,"Employment / career opportunities","Canada","1","142.535"
"Other Syrians","Free healthcare","Ban on immigration from Muslim countries","After 8 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Good country for Syrians",0,1,769,"Male","30-39","No","Some college but no degree","0",8,3,4,"Citizenship and rights","USA","1","100.628"
"Friends","No minimum wage","Ban on nikab and burka in public","After 5 years","After 3 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","Welcoming to foreigners",0,1,771,"Female","18 - 29","No","Bachelor's degree (4-year)","0",6,3,4,"Education opportunities","Canada","1","66.132"
"Other Syrians","Generous support for refugees","Ban on hijab in schools","After 3 years","Immediately","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Welcoming to foreigners",1,1,772,"Male","18 - 29","Yes","Diploma or technical certificate (2-year)","0",2,1,3,"Employment / career opportunities","Canada","1","39.656"
"Family","No minimum wage","Ban on hijab in schools","After 3 years","After 3 months","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","Welcoming to foreigners",1,1,773,"Male","30-39","Yes","Bachelor's degree (4-year)","0",3,1,NA,"Citizenship and rights","Germany","1","115.259"
"Friends","Free housing","Ban on immigration from Muslim countries","After 3 years","Immediately","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","Has many well-known brands",1,1,774,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",6,3,5,"Education opportunities","Other / Prefer not to answer","1","61.31"
"Friends","Free housing","Ban on immigration from Muslim countries","After 3 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Welcoming to foreigners",1,1,777,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",6,1,5,"Asylum policies (e.g. family reunification, resettlement)","Germany","1","37.31"
"Family","Free housing","Ban on hijab in schools","After 3 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Bad country for Syrians",0,1,780,"Male","40-49","Yes","Less than high school degree","1",8,1,3,"Employment / career opportunities","UK","1","45.282"
"No contacts","Free healthcare","Ban on hijab in schools","After 3 years","After 12 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","Has many well-known brands",0,1,783,"Male","18 - 29","No","Less than high school degree","0",6,3,6,"Employment / career opportunities","Germany","1","85.074"
"Friends","Generous support for refugees","Ban on immigration from Muslim countries","After 8 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Welcoming to foreigners",0,1,787,"Male","18 - 29","No","Some college but no degree","0",8,4,6,"Education opportunities","UK","1","18.804"
"Friends","Generous support for refugees","Ban on nikab and burka in public","After 3 years","Immediately","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","Good country for Syrians",1,1,788,"Female","18 - 29","Yes","Bachelor's degree (4-year)","0",8,4,3,"Friends / family / relatives in the country","Canada","1","160.809"
"Friends","Free housing","Ban on nikab and burka in public","After 8 years","After 3 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Welcoming to foreigners",1,1,789,"Male","18 - 29","No","Bachelor's degree (4-year)","0",8,2,3,"Citizenship and rights","UK","1","55.341"
"Other Syrians","No minimum wage","Ban on nikab and burka in public","After 5 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Bad country for Syrians",1,2,4,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",2,1,3,"Education opportunities","Germany","0","20.264"
"Friends","No minimum wage","Ban on immigration from Muslim countries","After 5 years","After 3 months","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Welcoming to foreigners",0,2,6,"Male","18 - 29","No","Bachelor's degree (4-year)","0",4,1,5,"Citizenship and rights","Other / Prefer not to answer","0","5.189"
"Family","Generous support for refugees","Ban on hijab in schools","After 5 years","After 12 months","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","Welcoming to foreigners",1,2,7,"Male","18 - 29","No","Bachelor's degree (4-year)","1",4,1,5,"Employment / career opportunities","USA","0","4.171"
"Family","No minimum wage","No religious bans","After 5 years","After 3 months","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Has many well-known brands",1,2,11,"Male","18 - 29","No","Master's degree or higher","0",5,1,6,"Language and culture","Canada","0","8.066"
"Friends","Free housing","Ban on immigration from Muslim countries","After 5 years","After 12 months","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Welcoming to foreigners",1,2,14,"Female","18 - 29","No","Bachelor's degree (4-year)","0",8,3,4,"Citizenship and rights","Canada","0","48.489"
"No contacts","Free healthcare","Ban on hijab in schools","After 8 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","Has many well-known brands",1,2,15,"Female","50-59","Yes","Bachelor's degree (4-year)","0",5,6,3,"Citizenship and rights","USA","0","10.951"
"No contacts","Free healthcare","No religious bans","After 5 years","After 3 months","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Bad country for Syrians",1,2,16,"Female","60 or older","No","Diploma or technical certificate (2-year)","0",5,6,3,"Friends / family / relatives in the country","Canada","0","20.179"
"Other Syrians","Free housing","Ban on hijab in schools","After 3 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Welcoming to foreigners",0,2,19,"Female","30-39","Yes","Bachelor's degree (4-year)","0",4,1,3,"Social benefits and healthcare","Canada","0","54.878"
"Family","No minimum wage","Ban on hijab in schools","After 8 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","Has many well-known brands",0,2,21,"Male","18 - 29","Yes","Less than high school degree","0",2,1,5,"Asylum policies (e.g. family reunification, resettlement)","Canada","0","46.997"
