"contacts","social","laws","citizenship","workpermit","employment","attitude","country","destination","candidate","c.same","id","gender","age","children","educ","prewar","satisfaction","migmotivation","miglikely","prefchar","prefcountry","incentivised","t_choice"
"No contacts","No minimum wage","Ban on nikab and burka in public","After 8 years","Immediately","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","France",0,2,0,358,"Female","30-39","Yes","Master's degree or higher","0",8,1,2,"Citizenship and rights","Other / Prefer not to answer","1","24.581"
"Family","No minimum wage","Ban on nikab and burka in public","After 5 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","Canada",1,2,0,359,"Male","18 - 29","No","Some college but no degree","1",4,1,6,"Citizenship and rights","Canada","1","24.3"
"Friends","Generous support for refugees","Ban on nikab and burka in public","After 5 years","After 12 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United Kingdom (UK)",1,2,0,363,"Male","30-39","Yes","Diploma or technical certificate (2-year)","1",2,1,2,"Asylum policies (e.g. family reunification, resettlement)","UK","1","7.675"
"Family","Free healthcare","Ban on hijab in schools","After 3 years","After 12 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","United States of America (USA)",0,2,1,364,"Female","30-39","No","Master's degree or higher","0",4,1,4,"Citizenship and rights","Canada","1","11.885"
"No contacts","Free healthcare","No religious bans","After 3 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Canada",1,2,0,365,"Female","18 - 29","No","Some college but no degree","0",NA,1,2,"Citizenship and rights","UK","1","4.304"
"Friends","Generous support for refugees","Ban on hijab in schools","After 5 years","After 12 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","United Kingdom (UK)",0,2,0,368,"Male","18 - 29","No","Bachelor's degree (4-year)","0",6,1,2,"Don't know / Prefer not to answer","Other / Prefer not to answer","1","11.708"
"Family","No minimum wage","Ban on immigration from Muslim countries","After 5 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","France",0,2,0,370,"Male","18 - 29","No","Some college but no degree","0",4,1,2,"Employment / career opportunities","Canada","1","5.146"
"Friends","Free healthcare","Ban on nikab and burka in public","After 3 years","Immediately","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United Kingdom (UK)",0,2,0,371,"Male","30-39","Yes","Some college but no degree","0",2,1,NA,"Education opportunities","Canada","1","3.235"
"No contacts","Free healthcare","Ban on immigration from Muslim countries","After 3 years","After 3 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",0,2,0,373,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",8,1,5,"Employment / career opportunities","Canada","1","92.989"
"Other Syrians","Free housing","Ban on nikab and burka in public","After 3 years","Immediately","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","France",1,2,1,375,"Male","18 - 29","Yes","Less than high school degree","0",2,1,6,"Citizenship and rights","Canada","1","55.471"
"Family","Free housing","Ban on hijab in schools","After 5 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Germany",1,2,0,376,"Male","18 - 29","No","Some college but no degree","0",8,1,5,"Education opportunities","Canada","1","71.496"
"Friends","Generous support for refugees","No religious bans","After 8 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","France",0,2,0,377,"Male","40-49","Yes","High school graduate (Baccalaureate / Tawjihi)","0",7,1,4,"Citizenship and rights","Canada","1","344.213"
"No contacts","Free healthcare","No religious bans","After 3 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","Germany",0,2,0,380,"Male","18 - 29","No","Some college but no degree","0",2,1,6,"Education opportunities","Canada","1","16.616"
"No contacts","Free healthcare","Ban on nikab and burka in public","After 8 years","Immediately","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Germany",1,2,1,382,"Female","18 - 29","Yes","Bachelor's degree (4-year)","0",8,4,6,"Employment / career opportunities","Canada","1","69.926"
"Friends","No minimum wage","No religious bans","After 8 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","United States of America (USA)",0,2,0,383,"Female","40-49","No","Bachelor's degree (4-year)","0",5,4,3,"Friends / family / relatives in the country","France","1","29.603"
"No contacts","Free healthcare","Ban on hijab in schools","After 8 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","Canada",0,2,0,384,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",3,1,3,"Education opportunities","UK","1","29.048"
"Family","No minimum wage","Ban on hijab in schools","After 5 years","After 3 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Canada",0,2,0,385,"Female","40-49","Yes","High school graduate (Baccalaureate / Tawjihi)","1",7,3,6,"Social benefits and healthcare","Canada","1","24.584"
"Family","Generous support for refugees","Ban on immigration from Muslim countries","After 5 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","United Kingdom (UK)",1,2,0,386,"Male","30-39","Yes","Bachelor's degree (4-year)","0",NA,1,NA,"Asylum policies (e.g. family reunification, resettlement)","UK","1","8.95"
"No contacts","No minimum wage","Ban on immigration from Muslim countries","After 3 years","Immediately","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","Canada",0,2,0,388,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",6,1,2,"Good reputation","Germany","1","48.492"
"Other Syrians","Free housing","Ban on immigration from Muslim countries","After 5 years","Immediately","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",0,2,1,389,"Male","18 - 29","No","Some college but no degree","0",4,4,3,"Education opportunities","Canada","1","50.569"
"Family","No minimum wage","Ban on nikab and burka in public","After 8 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Germany",0,2,1,391,"Male","18 - 29","No","Bachelor's degree (4-year)","0",8,3,2,"Citizenship and rights","Canada","1","25.019"
"No contacts","Free healthcare","Ban on immigration from Muslim countries","After 8 years","After 3 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",0,2,1,392,"Male","18 - 29","No","Some college but no degree","0",NA,NA,NA,"Don't know / Prefer not to answer","Other / Prefer not to answer","1","151.115"
"Friends","No minimum wage","No religious bans","After 5 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","France",0,2,0,394,"Male","40-49","No","Bachelor's degree (4-year)","1",5,3,NA,"Citizenship and rights","Canada","1","39.048"
"Family","Free housing","Ban on nikab and burka in public","After 8 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","United Kingdom (UK)",0,2,1,395,"Female","18 - 29","No","Some college but no degree","0",7,1,NA,"Citizenship and rights","UK","1","61.822"
"No contacts","Free healthcare","Ban on nikab and burka in public","After 3 years","After 3 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","Canada",1,2,0,396,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","1",8,4,5,"Friends / family / relatives in the country","Germany","1","60.1"
"Family","No minimum wage","Ban on hijab in schools","After 8 years","Immediately","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","United Kingdom (UK)",0,2,0,397,"Male","30-39","Yes","Master's degree or higher","1",4,1,4,"Employment / career opportunities","Canada","1","118.05"
"No contacts","Free healthcare","Ban on nikab and burka in public","After 8 years","After 12 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Germany",0,2,0,399,"Male","18 - 29","Yes","Diploma or technical certificate (2-year)","0",2,1,6,"Citizenship and rights","Canada","1","143.522"
"Friends","No minimum wage","No religious bans","After 3 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","France",1,2,0,405,"Female","18 - 29","No","Some college but no degree","1",2,4,5,"Language and culture","France","1","12.921"
"Friends","No minimum wage","Ban on nikab and burka in public","After 3 years","After 3 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","France",0,2,0,409,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",7,1,6,"Asylum policies (e.g. family reunification, resettlement)","UK","1","6.313"
"Family","Free housing","Ban on immigration from Muslim countries","After 8 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Germany",1,2,0,410,"Male","18 - 29","No","Bachelor's degree (4-year)","0",2,1,4,"Employment / career opportunities","USA","1","6.758"
"Other Syrians","Free healthcare","No religious bans","After 5 years","After 3 months","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","France",0,2,0,412,"Female","18 - 29","No","Master's degree or higher","0",8,1,4,"Education opportunities","USA","1","102.456"
"Family","Generous support for refugees","Ban on hijab in schools","After 8 years","After 3 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Germany",1,2,0,416,"Male","18 - 29","No","Some college but no degree","0",4,4,2,"Citizenship and rights","Germany","1","41.836"
"No contacts","No minimum wage","Ban on immigration from Muslim countries","After 3 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","United Kingdom (UK)",0,2,1,417,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",4,1,5,"Education opportunities","Canada","1","189.316"
"Family","Generous support for refugees","Ban on hijab in schools","After 8 years","Immediately","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","France",1,2,0,418,NA,"18 - 29","No","Bachelor's degree (4-year)","0",8,3,4,"Employment / career opportunities","UK","1","88.8"
"Friends","No minimum wage","No religious bans","After 5 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","France",0,2,0,420,"Male","18 - 29","No","Some college but no degree","0",8,3,3,"Education opportunities","USA","1","64.345"
"Family","No minimum wage","No religious bans","After 3 years","After 3 months","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Canada",1,2,1,421,"Female","18 - 29","No","Some college but no degree","0",5,1,4,"Social benefits and healthcare","UK","1","46.544"
"Friends","No minimum wage","No religious bans","After 5 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","United Kingdom (UK)",1,2,0,422,"Male","18 - 29","No","Master's degree or higher","1",4,1,2,"Citizenship and rights","USA","1","31.516"
"Family","Free housing","Ban on nikab and burka in public","After 3 years","After 3 months","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Germany",1,2,0,424,"Male","30-39","Yes","Bachelor's degree (4-year)","1",2,1,2,"Citizenship and rights","Canada","1","8.206"
"No contacts","No minimum wage","Ban on immigration from Muslim countries","After 8 years","After 12 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Canada",1,2,0,425,"Female","18 - 29","No","Some college but no degree","0",5,1,5,"Citizenship and rights","Canada","1","10.356"
"Other Syrians","Generous support for refugees","Ban on immigration from Muslim countries","After 8 years","After 3 months","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","United Kingdom (UK)",0,2,1,426,"Male","18 - 29","Yes","High school graduate (Baccalaureate / Tawjihi)","0",4,1,6,"Social benefits and healthcare","Canada","1","7.813"
"No contacts","No minimum wage","Ban on nikab and burka in public","After 5 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","France",0,2,0,427,"Male","18 - 29","No","Bachelor's degree (4-year)","0",5,1,4,"Education opportunities","Germany","1","136.21"
"No contacts","Generous support for refugees","Ban on nikab and burka in public","After 3 years","Immediately","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","United States of America (USA)",1,2,1,428,"Female","18 - 29","No","Some college but no degree","0",7,4,6,"Asylum policies (e.g. family reunification, resettlement)","Canada","1","29.167"
"Other Syrians","Generous support for refugees","Ban on hijab in schools","After 8 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","France",0,2,1,431,"Male","18 - 29","No","Bachelor's degree (4-year)","0",2,1,5,"Asylum policies (e.g. family reunification, resettlement)","UK","1","3.928"
"Other Syrians","Generous support for refugees","Ban on immigration from Muslim countries","After 5 years","After 12 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",1,2,1,434,"Male","18 - 29","No","Bachelor's degree (4-year)","0",5,3,6,"Education opportunities","Canada","1","51.419"
"Family","Generous support for refugees","No religious bans","After 5 years","Immediately","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","United Kingdom (UK)",1,2,0,436,"Female","30-39","No","Bachelor's degree (4-year)","0",8,3,4,"Friends / family / relatives in the country","Canada","1","36.673"
"Other Syrians","Free housing","Ban on nikab and burka in public","After 3 years","After 12 months","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","France",0,2,0,438,"Male","30-39","Yes","Diploma or technical certificate (2-year)","0",2,1,3,"Citizenship and rights","Canada","1","49.511"
"Family","Generous support for refugees","No religious bans","After 3 years","After 12 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Canada",1,2,1,440,"Male","30-39","No","Bachelor's degree (4-year)","0",2,1,NA,"Education opportunities","Canada","1","31.901"
"Friends","No minimum wage","Ban on nikab and burka in public","After 3 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","United Kingdom (UK)",1,2,1,443,"Male","18 - 29","Yes","Some college but no degree","0",6,1,NA,"Citizenship and rights","Canada","1","80.524"
"Family","Free housing","Ban on hijab in schools","After 8 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","France",0,2,0,445,"Male","18 - 29","No","Some college but no degree","0",7,3,6,"Education opportunities","Canada","1","24.317"
"Family","No minimum wage","Ban on immigration from Muslim countries","After 5 years","After 12 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","United Kingdom (UK)",0,2,0,446,"Female","30-39","No","Master's degree or higher","0",8,4,3,"Asylum policies (e.g. family reunification, resettlement)","USA","1","24.992"
"No contacts","Generous support for refugees","No religious bans","After 5 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","United States of America (USA)",1,2,0,450,"Female","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",8,2,6,"Education opportunities","UK","1","18.394"
"Other Syrians","Free healthcare","Ban on nikab and burka in public","After 3 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","France",0,2,0,451,"Female","18 - 29","No","Bachelor's degree (4-year)","0",5,1,4,"Language and culture","USA","1","19.251"
"Friends","Free housing","Ban on nikab and burka in public","After 5 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","France",0,2,0,453,"Male","18 - 29","Yes","Bachelor's degree (4-year)","0",7,1,4,"Citizenship and rights","UK","1","9.447"
"Family","No minimum wage","Ban on nikab and burka in public","After 3 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","United States of America (USA)",1,2,1,454,"Female","18 - 29","No","Bachelor's degree (4-year)","0",4,1,2,"Citizenship and rights","Canada","1","8.971"
"Friends","Free healthcare","Ban on nikab and burka in public","After 8 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","France",1,2,0,457,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","1",4,1,4,"Education opportunities","Canada","1","163.344"
"Friends","Free housing","Ban on hijab in schools","After 8 years","After 3 months","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",1,2,0,459,"Female","18 - 29","No","Some college but no degree","0",5,3,3,"Employment / career opportunities","UK","1","66.795"
"No contacts","No minimum wage","Ban on nikab and burka in public","After 8 years","Immediately","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","Germany",0,2,0,465,"Female","18 - 29","No","Bachelor's degree (4-year)","0",6,4,4,"Education opportunities","UK","1","29.474"
"Family","Generous support for refugees","Ban on hijab in schools","After 3 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Canada",0,2,1,469,"Female","30-39","Yes","Master's degree or higher","0",6,1,6,"Social benefits and healthcare","UK","1","9.786"
"No contacts","Free housing","Ban on immigration from Muslim countries","After 5 years","After 12 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Canada",0,2,0,470,"Male","18 - 29","No","Bachelor's degree (4-year)","1",7,1,6,"Citizenship and rights","UK","1","15.724"
"Family","Free housing","Ban on immigration from Muslim countries","After 5 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","United Kingdom (UK)",1,2,0,473,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",7,1,2,"Employment / career opportunities","Canada","1","179.305"
"Friends","Free housing","No religious bans","After 5 years","After 3 months","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Canada",1,2,0,475,"Male","30-39","Yes","Diploma or technical certificate (2-year)","0",4,1,3,"Employment / career opportunities","Canada","1","103.491"
"No contacts","Generous support for refugees","Ban on immigration from Muslim countries","After 5 years","Immediately","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","United States of America (USA)",0,2,0,476,"Male","18 - 29","No","Some college but no degree","0",2,1,3,"Asylum policies (e.g. family reunification, resettlement)","Canada","1","39.26"
"Family","Free housing","Ban on immigration from Muslim countries","After 8 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Canada",0,2,0,478,"Male","18 - 29","No","Some college but no degree","0",4,1,2,"Citizenship and rights","UK","1","76.584"
"Family","Generous support for refugees","Ban on immigration from Muslim countries","After 3 years","Immediately","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Germany",0,2,1,480,"Female","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",6,3,5,"Education opportunities","Canada","1","28.087"
"Family","Free healthcare","Ban on immigration from Muslim countries","After 5 years","Immediately","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Germany",0,2,0,481,"Female","40-49","Yes","Some college but no degree","0",8,1,5,"Citizenship and rights","UK","1","26.166"
"Friends","Free housing","No religious bans","After 8 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","France",1,2,0,483,"Male","18 - 29","No","Bachelor's degree (4-year)","0",6,3,4,"Education opportunities","France","1","13.322"
"Friends","Free healthcare","Ban on hijab in schools","After 3 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","United States of America (USA)",0,2,0,484,"Male","30-39","No","Some college but no degree","0",5,1,3,"Education opportunities","Canada","1","52.1"
"Other Syrians","No minimum wage","Ban on hijab in schools","After 5 years","After 3 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","France",0,2,0,485,"Male","18 - 29","No","Master's degree or higher","0",4,1,6,"Education opportunities","USA","1","23.742"
"Family","No minimum wage","No religious bans","After 8 years","After 12 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",0,2,0,486,"Female","40-49","No","Bachelor's degree (4-year)","0",5,2,3,"Language and culture","Other / Prefer not to answer","1","49.051"
"Family","Free healthcare","No religious bans","After 3 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Canada",0,2,0,490,"Male","18 - 29","No","Bachelor's degree (4-year)","1",5,3,NA,"Citizenship and rights","Other / Prefer not to answer","1","23.327"
"Family","Free housing","No religious bans","After 5 years","Immediately","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","France",1,2,1,491,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",8,3,6,"Education opportunities","UK","1","13.036"
"Friends","Free healthcare","No religious bans","After 5 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Canada",0,2,0,493,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","1",8,1,3,"Education opportunities","UK","1","2.547"
"Family","Free healthcare","No religious bans","After 5 years","After 3 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Germany",0,2,0,500,"Female","18 - 29","No","Some college but no degree","0",7,1,6,"Citizenship and rights","UK","1","21.759"
"Family","Generous support for refugees","Ban on immigration from Muslim countries","After 8 years","After 3 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Germany",0,2,0,502,"Female","18 - 29","No","Some college but no degree","0",5,1,NA,"Employment / career opportunities","Canada","1","204.829"
"Family","Generous support for refugees","Ban on hijab in schools","After 3 years","After 3 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Canada",1,2,0,503,"Female","18 - 29","No","Some college but no degree","0",8,3,3,"Education opportunities","France","1","56.594"
"No contacts","Free healthcare","Ban on nikab and burka in public","After 3 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","France",0,2,0,506,"Female","18 - 29","No","Some college but no degree","0",6,1,5,"Employment / career opportunities","Canada","1","37.982"
"No contacts","Free healthcare","Ban on hijab in schools","After 3 years","After 3 months","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","France",0,2,0,507,"Male","18 - 29","No","Less than high school degree","0",7,1,3,"Education opportunities","UK","1","123.916"
"Friends","Generous support for refugees","No religious bans","After 8 years","After 3 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","France",1,2,0,509,"Female","18 - 29","No","Some college but no degree","0",4,1,5,"Education opportunities","UK","1","85.291"
"No contacts","Free housing","No religious bans","After 8 years","After 3 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",0,2,0,511,"Male","18 - 29","No","Some college but no degree","0",NA,1,2,"Education opportunities","Canada","1","33.638"
"Family","No minimum wage","Ban on nikab and burka in public","After 5 years","After 12 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","United States of America (USA)",0,2,0,512,"Female","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",5,1,5,"Asylum policies (e.g. family reunification, resettlement)","USA","1","62.206"
"Friends","Generous support for refugees","No religious bans","After 5 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","France",1,2,1,515,"Female","18 - 29","No","Some college but no degree","0",5,3,4,"Education opportunities","Germany","1","10.8"
"No contacts","Generous support for refugees","Ban on immigration from Muslim countries","After 5 years","Immediately","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","France",0,2,1,517,"Female","30-39","No","Diploma or technical certificate (2-year)","0",4,1,2,"Asylum policies (e.g. family reunification, resettlement)","Germany","1","155.842"
"Family","Free healthcare","Ban on immigration from Muslim countries","After 3 years","Immediately","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Canada",0,2,0,519,"Male","18 - 29","No","Less than high school degree","0",4,1,5,"Citizenship and rights","Germany","1","59.316"
"Family","No minimum wage","No religious bans","After 3 years","After 3 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Germany",1,2,0,520,"Female","18 - 29","No","Some college but no degree","0",8,4,4,"Employment / career opportunities","Germany","1","51.888"
"Family","Free healthcare","No religious bans","After 8 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","United States of America (USA)",0,2,0,521,"Male","18 - 29","No","Master's degree or higher","0",2,1,3,"Citizenship and rights","Germany","1","35.294"
"No contacts","Free healthcare","Ban on hijab in schools","After 8 years","After 12 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","United States of America (USA)",1,2,0,522,"Male","18 - 29","No","Bachelor's degree (4-year)","0",4,1,5,"Citizenship and rights","UK","1","45.626"
"Other Syrians","No minimum wage","Ban on nikab and burka in public","After 3 years","After 3 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","United Kingdom (UK)",1,2,0,523,"Male","30-39","No","Bachelor's degree (4-year)","1",5,1,4,"Citizenship and rights","UK","1","15.088"
"Friends","Free healthcare","Ban on immigration from Muslim countries","After 5 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Germany",1,2,0,526,"Male","18 - 29","Yes","Some college but no degree","0",4,1,3,"Citizenship and rights","Canada","1","21.789"
"Other Syrians","Free housing","No religious bans","After 8 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","United Kingdom (UK)",0,2,1,527,"Female","18 - 29","No","Some college but no degree","0",2,1,5,"Education opportunities","UK","1","43.949"
"No contacts","Free healthcare","Ban on immigration from Muslim countries","After 8 years","After 3 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Germany",1,2,0,529,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",2,1,5,"Education opportunities","USA","1","21.586"
"No contacts","No minimum wage","No religious bans","After 5 years","After 3 months","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","France",1,2,0,530,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",2,1,3,"Asylum policies (e.g. family reunification, resettlement)","Canada","1","24.085"
"Other Syrians","Free housing","No religious bans","After 3 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Germany",0,2,0,531,"Male","18 - 29","No","Bachelor's degree (4-year)","0",4,1,5,"Education opportunities","Other / Prefer not to answer","1","22.035"
"Other Syrians","No minimum wage","No religious bans","After 5 years","After 3 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",0,2,1,532,"Female","18 - 29","No","Some college but no degree","0",8,4,5,"Social benefits and healthcare","UK","1","78.015"
"Other Syrians","Free housing","Ban on nikab and burka in public","After 5 years","Immediately","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","France",1,2,0,533,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",7,1,3,"Good reputation","Canada","1","66.085"
"Friends","No minimum wage","Ban on immigration from Muslim countries","After 8 years","After 12 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",0,2,0,534,"Male","18 - 29","No","Some college but no degree","0",6,3,5,"Employment / career opportunities","USA","1","5.128"
"Friends","Generous support for refugees","Ban on immigration from Muslim countries","After 5 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","France",1,2,1,535,"Male","30-39","Yes","Some college but no degree","0",8,1,3,"Education opportunities","Canada","1","39.319"
"No contacts","Free healthcare","Ban on nikab and burka in public","After 8 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Germany",1,2,0,538,"Female","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",6,1,2,"Education opportunities","USA","1","51.771"
"Family","No minimum wage","No religious bans","After 5 years","After 3 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","Canada",1,2,0,541,"Female","30-39","Yes","High school graduate (Baccalaureate / Tawjihi)","1",8,1,NA,"Citizenship and rights","Canada","1","8.526"
"Other Syrians","Generous support for refugees","No religious bans","After 5 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","United Kingdom (UK)",1,2,0,545,"Male","18 - 29","Yes","Less than high school degree","1",8,1,6,"Education opportunities","Canada","1","23.152"
"Family","Free healthcare","No religious bans","After 8 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","United Kingdom (UK)",0,2,1,546,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",8,1,2,"Education opportunities","Canada","1","16.774"
"Family","No minimum wage","Ban on immigration from Muslim countries","After 8 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","France",0,2,1,551,"Female","18 - 29","No","Bachelor's degree (4-year)","0",8,4,6,"Citizenship and rights","Canada","1","26.278"
